Year,Circulation Per Capita,Library
2010,3.8229,A. K. SMILEY PUBLIC LIBRARY
2011,3.8689,A. K. SMILEY PUBLIC LIBRARY
2012,0.11595,A. K. SMILEY PUBLIC LIBRARY
2013,0.17617,A. K. SMILEY PUBLIC LIBRARY
2014,0.19948,A. K. SMILEY PUBLIC LIBRARY
2015,3.47563,A. K. SMILEY PUBLIC LIBRARY
2016,3.43427,A. K. SMILEY PUBLIC LIBRARY
2017,3.27728,A. K. SMILEY PUBLIC LIBRARY
2018,3.57492,A. K. SMILEY PUBLIC LIBRARY
2019,3.03987,A. K. SMILEY PUBLIC LIBRARY
2010,12.17899,ALAMEDA COUNTY LIBRARY
2011,12.62445,ALAMEDA COUNTY LIBRARY
2012,0.36418,ALAMEDA COUNTY LIBRARY
2013,0.73654,ALAMEDA COUNTY LIBRARY
2014,0.92567,ALAMEDA COUNTY LIBRARY
2015,10.72911,ALAMEDA COUNTY LIBRARY
2016,9.79601,ALAMEDA COUNTY LIBRARY
2017,9.56099,ALAMEDA COUNTY LIBRARY
2018,9.18382,ALAMEDA COUNTY LIBRARY
2019,6.2921,ALAMEDA COUNTY LIBRARY
2010,8.23474,ALAMEDA FREE LIBRARY
2011,7.74658,ALAMEDA FREE LIBRARY
2012,0.13999,ALAMEDA FREE LIBRARY
2013,0.1847,ALAMEDA FREE LIBRARY
2014,0.22118,ALAMEDA FREE LIBRARY
2015,5.99932,ALAMEDA FREE LIBRARY
2016,5.52843,ALAMEDA FREE LIBRARY
2017,5.4925,ALAMEDA FREE LIBRARY
2018,5.34255,ALAMEDA FREE LIBRARY
2019,5.25823,ALAMEDA FREE LIBRARY
2010,6.12961,ALHAMBRA CIVIC CENTER LIBRARY
2011,5.68229,ALHAMBRA CIVIC CENTER LIBRARY
2012,0.00388,ALHAMBRA CIVIC CENTER LIBRARY
2013,0.00897,ALHAMBRA CIVIC CENTER LIBRARY
2014,0.02567,ALHAMBRA CIVIC CENTER LIBRARY
2015,3.84756,ALHAMBRA CIVIC CENTER LIBRARY
2016,3.38255,ALHAMBRA CIVIC CENTER LIBRARY
2017,3.19258,ALHAMBRA CIVIC CENTER LIBRARY
2018,3.1271,ALHAMBRA CIVIC CENTER LIBRARY
2019,2.35525,ALHAMBRA CIVIC CENTER LIBRARY
2010,28.29167,ALPINE COUNTY LIBRARY/ARCHIVES
2011,28.50046,ALPINE COUNTY LIBRARY/ARCHIVES
2012,0.31923,ALPINE COUNTY LIBRARY/ARCHIVES
2013,0.32067,ALPINE COUNTY LIBRARY/ARCHIVES
2014,0.26494,ALPINE COUNTY LIBRARY/ARCHIVES
2015,17.74528,ALPINE COUNTY LIBRARY/ARCHIVES
2016,13.1338,ALPINE COUNTY LIBRARY/ARCHIVES
2017,12.86655,ALPINE COUNTY LIBRARY/ARCHIVES
2018,15.35112,ALPINE COUNTY LIBRARY/ARCHIVES
2019,14.7303,ALPINE COUNTY LIBRARY/ARCHIVES
2010,4.48377,ALTADENA LIBRARY DISTRICT
2011,4.34627,ALTADENA LIBRARY DISTRICT
2012,0.04742,ALTADENA LIBRARY DISTRICT
2013,0.06651,ALTADENA LIBRARY DISTRICT
2014,0.07176,ALTADENA LIBRARY DISTRICT
2015,3.75413,ALTADENA LIBRARY DISTRICT
2016,3.55434,ALTADENA LIBRARY DISTRICT
2017,3.57977,ALTADENA LIBRARY DISTRICT
2018,4.32069,ALTADENA LIBRARY DISTRICT
2019,3.50492,ALTADENA LIBRARY DISTRICT
2010,2.56445,AMADOR COUNTY LIBRARY
2011,2.56519,AMADOR COUNTY LIBRARY
2012,0.11682,AMADOR COUNTY LIBRARY
2013,0.15488,AMADOR COUNTY LIBRARY
2014,0.19641,AMADOR COUNTY LIBRARY
2015,2.26915,AMADOR COUNTY LIBRARY
2016,2.05784,AMADOR COUNTY LIBRARY
2017,2.05938,AMADOR COUNTY LIBRARY
2018,1.77252,AMADOR COUNTY LIBRARY
2019,1.45647,AMADOR COUNTY LIBRARY
2010,4.98515,ANAHEIM PUBLIC LIBRARY
2011,4.75759,ANAHEIM PUBLIC LIBRARY
2012,0.01727,ANAHEIM PUBLIC LIBRARY
2013,0.05345,ANAHEIM PUBLIC LIBRARY
2014,0.09969,ANAHEIM PUBLIC LIBRARY
2015,3.26644,ANAHEIM PUBLIC LIBRARY
2016,3.11563,ANAHEIM PUBLIC LIBRARY
2017,2.88476,ANAHEIM PUBLIC LIBRARY
2018,2.80035,ANAHEIM PUBLIC LIBRARY
2019,2.78778,ANAHEIM PUBLIC LIBRARY
2010,12.88955,ARCADIA PUBLIC LIBRARY
2011,13.71416,ARCADIA PUBLIC LIBRARY
2012,0.14691,ARCADIA PUBLIC LIBRARY
2013,0.20687,ARCADIA PUBLIC LIBRARY
2014,0.28218,ARCADIA PUBLIC LIBRARY
2015,12.28256,ARCADIA PUBLIC LIBRARY
2016,11.54497,ARCADIA PUBLIC LIBRARY
2017,15.06779,ARCADIA PUBLIC LIBRARY
2018,11.80498,ARCADIA PUBLIC LIBRARY
2019,8.84218,ARCADIA PUBLIC LIBRARY
2010,2.32561,AZUSA CITY LIBRARY
2011,2.4953,AZUSA CITY LIBRARY
2012,0.02034,AZUSA CITY LIBRARY
2013,0.03338,AZUSA CITY LIBRARY
2014,0.04275,AZUSA CITY LIBRARY
2015,0.04743,AZUSA CITY LIBRARY
2016,2.26022,AZUSA CITY LIBRARY
2017,2.03109,AZUSA CITY LIBRARY
2018,1.87029,AZUSA CITY LIBRARY
2019,1.12413,AZUSA CITY LIBRARY
2010,4.1392,BANNING LIBRARY DISTRICT
2011,3.25259,BANNING LIBRARY DISTRICT
2012,0.06286,BANNING LIBRARY DISTRICT
2013,0.05981,BANNING LIBRARY DISTRICT
2014,0.08803,BANNING LIBRARY DISTRICT
2015,7.17129,BANNING LIBRARY DISTRICT
2016,1.62107,BANNING LIBRARY DISTRICT
2017,1.54262,BANNING LIBRARY DISTRICT
2018,1.3983,BANNING LIBRARY DISTRICT
2019,0.86329,BANNING LIBRARY DISTRICT
2010,3.18297,BEAUMONT LIBRARY DISTRICT
2011,3.11216,BEAUMONT LIBRARY DISTRICT
2012,,BEAUMONT LIBRARY DISTRICT
2013,0.01127,BEAUMONT LIBRARY DISTRICT
