Year,Collection Per Capita,Library
2010,2.65478,A. K. SMILEY PUBLIC LIBRARY
2011,2.70447,A. K. SMILEY PUBLIC LIBRARY
2012,2.67423,A. K. SMILEY PUBLIC LIBRARY
2013,2.68527,A. K. SMILEY PUBLIC LIBRARY
2014,2.65398,A. K. SMILEY PUBLIC LIBRARY
2015,2.79818,A. K. SMILEY PUBLIC LIBRARY
2016,2.76264,A. K. SMILEY PUBLIC LIBRARY
2017,2.81344,A. K. SMILEY PUBLIC LIBRARY
2018,2.80246,A. K. SMILEY PUBLIC LIBRARY
2019,2.91007,A. K. SMILEY PUBLIC LIBRARY
2010,1.99903,ALAMEDA COUNTY LIBRARY
2011,2.15127,ALAMEDA COUNTY LIBRARY
2012,2.15646,ALAMEDA COUNTY LIBRARY
2013,1.9832,ALAMEDA COUNTY LIBRARY
2014,2.19497,ALAMEDA COUNTY LIBRARY
2015,2.10945,ALAMEDA COUNTY LIBRARY
2016,2.13545,ALAMEDA COUNTY LIBRARY
2017,2.1776,ALAMEDA COUNTY LIBRARY
2018,2.21825,ALAMEDA COUNTY LIBRARY
2019,2.15033,ALAMEDA COUNTY LIBRARY
2010,2.50426,ALAMEDA FREE LIBRARY
2011,2.59652,ALAMEDA FREE LIBRARY
2012,2.52894,ALAMEDA FREE LIBRARY
2013,2.54614,ALAMEDA FREE LIBRARY
2014,2.593,ALAMEDA FREE LIBRARY
2015,2.47854,ALAMEDA FREE LIBRARY
2016,2.48674,ALAMEDA FREE LIBRARY
2017,3.03828,ALAMEDA FREE LIBRARY
2018,3.12643,ALAMEDA FREE LIBRARY
2019,3.04771,ALAMEDA FREE LIBRARY
2010,1.9597,ALHAMBRA CIVIC CENTER LIBRARY
2011,1.95899,ALHAMBRA CIVIC CENTER LIBRARY
2012,1.96632,ALHAMBRA CIVIC CENTER LIBRARY
2013,1.83537,ALHAMBRA CIVIC CENTER LIBRARY
2014,1.76123,ALHAMBRA CIVIC CENTER LIBRARY
2015,1.54457,ALHAMBRA CIVIC CENTER LIBRARY
2016,1.48182,ALHAMBRA CIVIC CENTER LIBRARY
2017,1.58663,ALHAMBRA CIVIC CENTER LIBRARY
2018,1.40985,ALHAMBRA CIVIC CENTER LIBRARY
2019,1.37472,ALHAMBRA CIVIC CENTER LIBRARY
2010,23.28912,ALPINE COUNTY LIBRARY/ARCHIVES
2011,28.90246,ALPINE COUNTY LIBRARY/ARCHIVES
2012,29.16835,ALPINE COUNTY LIBRARY/ARCHIVES
