Year,Expense Per Capita,Library
2010,32.28744,A. K. SMILEY PUBLIC LIBRARY
2011,31.13792,A. K. SMILEY PUBLIC LIBRARY
2012,33.00796,A. K. SMILEY PUBLIC LIBRARY
2013,34.29961,A. K. SMILEY PUBLIC LIBRARY
2014,34.73761,A. K. SMILEY PUBLIC LIBRARY
2015,37.1654,A. K. SMILEY PUBLIC LIBRARY
2016,37.47275,A. K. SMILEY PUBLIC LIBRARY
2017,36.57974,A. K. SMILEY PUBLIC LIBRARY
2018,38.97139,A. K. SMILEY PUBLIC LIBRARY
2019,42.6658,A. K. SMILEY PUBLIC LIBRARY
2010,42.82783,ALAMEDA COUNTY LIBRARY
2011,38.84808,ALAMEDA COUNTY LIBRARY
2012,45.13727,ALAMEDA COUNTY LIBRARY
2013,44.7353,ALAMEDA COUNTY LIBRARY
2014,47.18445,ALAMEDA COUNTY LIBRARY
2015,51.58216,ALAMEDA COUNTY LIBRARY
2016,49.27237,ALAMEDA COUNTY LIBRARY
2017,49.85757,ALAMEDA COUNTY LIBRARY
2018,51.09175,ALAMEDA COUNTY LIBRARY
2019,55.69559,ALAMEDA COUNTY LIBRARY
2010,50.54941,ALAMEDA FREE LIBRARY
2011,49.07225,ALAMEDA FREE LIBRARY
2012,44.97583,ALAMEDA FREE LIBRARY
2013,50.95759,ALAMEDA FREE LIBRARY
2014,48.15508,ALAMEDA FREE LIBRARY
2015,47.20232,ALAMEDA FREE LIBRARY
2016,47.50362,ALAMEDA FREE LIBRARY
2017,48.05255,ALAMEDA FREE LIBRARY
2018,62.01778,ALAMEDA FREE LIBRARY
2019,58.03783,ALAMEDA FREE LIBRARY
2010,33.44235,ALHAMBRA CIVIC CENTER LIBRARY
2011,31.24537,ALHAMBRA CIVIC CENTER LIBRARY
2012,32.73225,ALHAMBRA CIVIC CENTER LIBRARY
2013,33.53847,ALHAMBRA CIVIC CENTER LIBRARY
2014,34.08441,ALHAMBRA CIVIC CENTER LIBRARY
2015,34.37458,ALHAMBRA CIVIC CENTER LIBRARY
2016,34.64621,ALHAMBRA CIVIC CENTER LIBRARY
2017,37.22517,ALHAMBRA CIVIC CENTER LIBRARY
2018,37.15775,ALHAMBRA CIVIC CENTER LIBRARY
2019,38.01979,ALHAMBRA CIVIC CENTER LIBRARY
2010,185.13605,ALPINE COUNTY LIBRARY/ARCHIVES
2011,213.50137,ALPINE COUNTY LIBRARY/ARCHIVES
2012,240.14719,ALPINE COUNTY LIBRARY/ARCHIVES
2013,222.46617,ALPINE COUNTY LIBRARY/ARCHIVES
2014,234.20607,ALPINE COUNTY LIBRARY/ARCHIVES
2015,226.89623,ALPINE COUNTY LIBRARY/ARCHIVES
2016,278.25022,ALPINE COUNTY LIBRARY/ARCHIVES
2017,309.59965,ALPINE COUNTY LIBRARY/ARCHIVES
2018,301.56627,ALPINE COUNTY LIBRARY/ARCHIVES
2019,321.75131,ALPINE COUNTY LIBRARY/ARCHIVES
2010,45.59397,ALTADENA LIBRARY DISTRICT
2011,49.10111,ALTADENA LIBRARY DISTRICT
2012,45.76589,ALTADENA LIBRARY DISTRICT
2013,49.31158,ALTADENA LIBRARY DISTRICT
2014,49.32813,ALTADENA LIBRARY DISTRICT
2015,56.29555,ALTADENA LIBRARY DISTRICT
2016,57.19036,ALTADENA LIBRARY DISTRICT
2017,51.82788,ALTADENA LIBRARY DISTRICT
2018,69.94016,ALTADENA LIBRARY DISTRICT
2019,66.99747,ALTADENA LIBRARY DISTRICT
2010,22.06499,AMADOR COUNTY LIBRARY
2011,21.28421,AMADOR COUNTY LIBRARY
2012,19.71566,AMADOR COUNTY LIBRARY
2013,19.87193,AMADOR COUNTY LIBRARY
2014,20.89078,AMADOR COUNTY LIBRARY
2015,16.57143,AMADOR COUNTY LIBRARY
2016,16.65341,AMADOR COUNTY LIBRARY
2017,17.22229,AMADOR COUNTY LIBRARY
2018,18.45665,AMADOR COUNTY LIBRARY
2019,19.38677,AMADOR COUNTY LIBRARY
2010,26.10449,ANAHEIM PUBLIC LIBRARY
2011,22.80894,ANAHEIM PUBLIC LIBRARY
2012,22.18014,ANAHEIM PUBLIC LIBRARY
2013,24.45972,ANAHEIM PUBLIC LIBRARY
2014,25.7013,ANAHEIM PUBLIC LIBRARY
2015,25.66736,ANAHEIM PUBLIC LIBRARY
2016,27.87345,ANAHEIM PUBLIC LIBRARY
2017,27.99687,ANAHEIM PUBLIC LIBRARY
2018,30.11294,ANAHEIM PUBLIC LIBRARY
2019,32.58712,ANAHEIM PUBLIC LIBRARY
2010,53.85025,ARCADIA PUBLIC LIBRARY
2011,51.71816,ARCADIA PUBLIC LIBRARY
2012,50.67021,ARCADIA PUBLIC LIBRARY
2013,52.10464,ARCADIA PUBLIC LIBRARY
2014,55.74642,ARCADIA PUBLIC LIBRARY
2015,59.22445,ARCADIA PUBLIC LIBRARY
2016,60.27641,ARCADIA PUBLIC LIBRARY
2017,53.30734,ARCADIA PUBLIC LIBRARY
2018,62.42341,ARCADIA PUBLIC LIBRARY
2019,66.49867,ARCADIA PUBLIC LIBRARY
2010,27.91513,AZUSA CITY LIBRARY
2011,25.79441,AZUSA CITY LIBRARY
2012,25.31711,AZUSA CITY LIBRARY
2013,20.84328,AZUSA CITY LIBRARY
2014,19.89054,AZUSA CITY LIBRARY
2015,20.44983,AZUSA CITY LIBRARY
2016,21.96998,AZUSA CITY LIBRARY
2017,24.11879,AZUSA CITY LIBRARY
2018,24.12693,AZUSA CITY LIBRARY
2019,27.55055,AZUSA CITY LIBRARY
2010,25.41606,BANNING LIBRARY DISTRICT
2011,21.52227,BANNING LIBRARY DISTRICT
2012,16.16038,BANNING LIBRARY DISTRICT
2013,18.78085,BANNING LIBRARY DISTRICT
2014,20.94901,BANNING LIBRARY DISTRICT
2015,20.39371,BANNING LIBRARY DISTRICT
2016,34.45241,BANNING LIBRARY DISTRICT
2017,26.1592,BANNING LIBRARY DISTRICT
2018,28.6338,BANNING LIBRARY DISTRICT
2019,19.23701,BANNING LIBRARY DISTRICT
2010,16.7316,BEAUMONT LIBRARY DISTRICT
2011,15.12903,BEAUMONT LIBRARY DISTRICT
2012,14.52077,BEAUMONT LIBRARY DISTRICT
2013,14.36698,BEAUMONT LIBRARY DISTRICT
2014,13.14788,BEAUMONT LIBRARY DISTRICT
2015,14.08777,BEAUMONT LIBRARY DISTRICT
2016,17.87971,BEAUMONT LIBRARY DISTRICT
2017,28.30759,BEAUMONT LIBRARY DISTRICT
2018,28.496,BEAUMONT LIBRARY DISTRICT
2019,26.02511,BEAUMONT LIBRARY DISTRICT
2010,162.48938,BELVEDERE-TIBURON LIBRARY
2011,159.51063,BELVEDERE-TIBURON LIBRARY
2012,178.44553,BELVEDERE-TIBURON LIBRARY
2013,178.76547,BELVEDERE-TIBURON LIBRARY
2014,178.38009,BELVEDERE-TIBURON LIBRARY
2015,181.08401,BELVEDERE-TIBURON LIBRARY
2016,211.57423,BELVEDERE-TIBURON LIBRARY
2017,188.36824,BELVEDERE-TIBURON LIBRARY
2018,206.94162,BELVEDERE-TIBURON LIBRARY
2019,219.12937,BELVEDERE-TIBURON LIBRARY
2010,79.43543,BENICIA PUBLIC LIBRARY
2011,71.90913,BENICIA PUBLIC LIBRARY
2012,68.0381,BENICIA PUBLIC LIBRARY
2013,71.19407,BENICIA PUBLIC LIBRARY
2014,71.79515,BENICIA PUBLIC LIBRARY
2015,72.64794,BENICIA PUBLIC LIBRARY
2016,74.10078,BENICIA PUBLIC LIBRARY
2017,81.50675,BENICIA PUBLIC LIBRARY
2018,77.29895,BENICIA PUBLIC LIBRARY
2019,89.61229,BENICIA PUBLIC LIBRARY
2010,121.94792,BERKELEY PUBLIC LIBRARY
2011,125.51059,BERKELEY PUBLIC LIBRARY
