Year,Visits Per Capita,Library
2010,3.75952,A. K. SMILEY PUBLIC LIBRARY
2011,3.60825,A. K. SMILEY PUBLIC LIBRARY
2012,3.69215,A. K. SMILEY PUBLIC LIBRARY
2013,3.83456,A. K. SMILEY PUBLIC LIBRARY
2014,3.5197,A. K. SMILEY PUBLIC LIBRARY
2015,4.00367,A. K. SMILEY PUBLIC LIBRARY
2016,3.88,A. K. SMILEY PUBLIC LIBRARY
2017,3.75815,A. K. SMILEY PUBLIC LIBRARY
2018,4.15785,A. K. SMILEY PUBLIC LIBRARY
2019,2.77803,A. K. SMILEY PUBLIC LIBRARY
2010,8.4916,ALAMEDA COUNTY LIBRARY
2011,9.12352,ALAMEDA COUNTY LIBRARY
2012,8.94685,ALAMEDA COUNTY LIBRARY
2013,8.71178,ALAMEDA COUNTY LIBRARY
2014,9.38899,ALAMEDA COUNTY LIBRARY
2015,4.36294,ALAMEDA COUNTY LIBRARY
2016,3.86342,ALAMEDA COUNTY LIBRARY
2017,3.61998,ALAMEDA COUNTY LIBRARY
2018,3.69848,ALAMEDA COUNTY LIBRARY
2019,2.35749,ALAMEDA COUNTY LIBRARY
2010,5.81543,ALAMEDA FREE LIBRARY
2011,5.76956,ALAMEDA FREE LIBRARY
2012,5.67232,ALAMEDA FREE LIBRARY
2013,5.79809,ALAMEDA FREE LIBRARY
2014,5.76827,ALAMEDA FREE LIBRARY
2015,5.04101,ALAMEDA FREE LIBRARY
2016,4.90217,ALAMEDA FREE LIBRARY
2017,5.37499,ALAMEDA FREE LIBRARY
2018,5.49204,ALAMEDA FREE LIBRARY
2019,3.00605,ALAMEDA FREE LIBRARY
2010,6.74188,ALHAMBRA CIVIC CENTER LIBRARY
2011,6.31386,ALHAMBRA CIVIC CENTER LIBRARY
2012,6.26801,ALHAMBRA CIVIC CENTER LIBRARY
2013,5.70548,ALHAMBRA CIVIC CENTER LIBRARY
2014,5.83465,ALHAMBRA CIVIC CENTER LIBRARY
2015,6.72407,ALHAMBRA CIVIC CENTER LIBRARY
2016,7.60711,ALHAMBRA CIVIC CENTER LIBRARY
2017,6.03141,ALHAMBRA CIVIC CENTER LIBRARY
2018,6.79911,ALHAMBRA CIVIC CENTER LIBRARY
2019,4.76237,ALHAMBRA CIVIC CENTER LIBRARY
2010,24.41497,ALPINE COUNTY LIBRARY/ARCHIVES
2011,30.37739,ALPINE COUNTY LIBRARY/ARCHIVES
2012,28.9494,ALPINE COUNTY LIBRARY/ARCHIVES
2013,28.3114,ALPINE COUNTY LIBRARY/ARCHIVES
2014,27.17663,ALPINE COUNTY LIBRARY/ARCHIVES
2015,26.48456,ALPINE COUNTY LIBRARY/ARCHIVES
2016,19.03997,ALPINE COUNTY LIBRARY/ARCHIVES
2017,22.32842,ALPINE COUNTY LIBRARY/ARCHIVES
2018,21.88985,ALPINE COUNTY LIBRARY/ARCHIVES
2019,7.24081,ALPINE COUNTY LIBRARY/ARCHIVES
2010,7.2755,ALTADENA LIBRARY DISTRICT
2011,7.30869,ALTADENA LIBRARY DISTRICT
2012,7.38813,ALTADENA LIBRARY DISTRICT
2013,7.12546,ALTADENA LIBRARY DISTRICT
2014,9.57561,ALTADENA LIBRARY DISTRICT
2015,3.55977,ALTADENA LIBRARY DISTRICT
2016,3.53849,ALTADENA LIBRARY DISTRICT
2017,3.38138,ALTADENA LIBRARY DISTRICT
2018,3.46999,ALTADENA LIBRARY DISTRICT
2019,2.40787,ALTADENA LIBRARY DISTRICT
2010,2.5064,AMADOR COUNTY LIBRARY
2011,2.30908,AMADOR COUNTY LIBRARY
2012,2.31273,AMADOR COUNTY LIBRARY
2013,2.29288,AMADOR COUNTY LIBRARY
2014,2.07829,AMADOR COUNTY LIBRARY
2015,1.8992,AMADOR COUNTY LIBRARY
2016,1.82974,AMADOR COUNTY LIBRARY
2017,1.7607,AMADOR COUNTY LIBRARY
2018,1.74187,AMADOR COUNTY LIBRARY
2019,1.19758,AMADOR COUNTY LIBRARY
2010,4.11688,ANAHEIM PUBLIC LIBRARY
2011,3.84333,ANAHEIM PUBLIC LIBRARY
2012,3.80658,ANAHEIM PUBLIC LIBRARY
2013,3.63179,ANAHEIM PUBLIC LIBRARY
2014,3.47714,ANAHEIM PUBLIC LIBRARY
2015,3.06628,ANAHEIM PUBLIC LIBRARY
2016,2.73783,ANAHEIM PUBLIC LIBRARY
2017,2.73581,ANAHEIM PUBLIC LIBRARY
2018,2.57857,ANAHEIM PUBLIC LIBRARY
2019,1.73343,ANAHEIM PUBLIC LIBRARY
2010,9.9136,ARCADIA PUBLIC LIBRARY
2011,9.70896,ARCADIA PUBLIC LIBRARY
2012,9.79191,ARCADIA PUBLIC LIBRARY
2013,9.6215,ARCADIA PUBLIC LIBRARY
2014,8.46325,ARCADIA PUBLIC LIBRARY
2015,9.46359,ARCADIA PUBLIC LIBRARY
2016,8.81316,ARCADIA PUBLIC LIBRARY
2017,8.54284,ARCADIA PUBLIC LIBRARY
2018,8.62254,ARCADIA PUBLIC LIBRARY
2019,5.66538,ARCADIA PUBLIC LIBRARY
2010,3.30652,AZUSA CITY LIBRARY
2011,3.66558,AZUSA CITY LIBRARY
2012,3.86792,AZUSA CITY LIBRARY
2013,4.01345,AZUSA CITY LIBRARY
2014,3.99049,AZUSA CITY LIBRARY
2015,4.00919,AZUSA CITY LIBRARY
2016,4.04459,AZUSA CITY LIBRARY
2017,3.85409,AZUSA CITY LIBRARY
2018,3.80633,AZUSA CITY LIBRARY
2019,1.88473,AZUSA CITY LIBRARY
2010,2.62412,BANNING LIBRARY DISTRICT
2011,2.63241,BANNING LIBRARY DISTRICT
2012,2.48359,BANNING LIBRARY DISTRICT
2013,2.49188,BANNING LIBRARY DISTRICT
2014,2.68671,BANNING LIBRARY DISTRICT
2015,2.13351,BANNING LIBRARY DISTRICT
2016,0.80625,BANNING LIBRARY DISTRICT
2017,3.21772,BANNING LIBRARY DISTRICT
2018,2.68307,BANNING LIBRARY DISTRICT
2019,1.8541,BANNING LIBRARY DISTRICT
2010,2.72737,BEAUMONT LIBRARY DISTRICT
2011,2.91251,BEAUMONT LIBRARY DISTRICT
2012,3.23913,BEAUMONT LIBRARY DISTRICT
2013,2.82375,BEAUMONT LIBRARY DISTRICT
2014,2.66519,BEAUMONT LIBRARY DISTRICT
2015,2.25935,BEAUMONT LIBRARY DISTRICT
2016,2.14293,BEAUMONT LIBRARY DISTRICT
2017,2.79835,BEAUMONT LIBRARY DISTRICT
2018,2.66312,BEAUMONT LIBRARY DISTRICT
2019,,BEAUMONT LIBRARY DISTRICT
2010,16.03869,BELVEDERE-TIBURON LIBRARY
2011,18.65638,BELVEDERE-TIBURON LIBRARY
2012,16.58541,BELVEDERE-TIBURON LIBRARY
2013,14.48158,BELVEDERE-TIBURON LIBRARY
2014,14.25537,BELVEDERE-TIBURON LIBRARY
2015,13.46987,BELVEDERE-TIBURON LIBRARY
2016,10.32817,BELVEDERE-TIBURON LIBRARY
2017,,BELVEDERE-TIBURON LIBRARY
2018,,BELVEDERE-TIBURON LIBRARY
2019,,BELVEDERE-TIBURON LIBRARY
2010,8.56722,BENICIA PUBLIC LIBRARY
2011,8.58862,BENICIA PUBLIC LIBRARY
2012,8.12863,BENICIA PUBLIC LIBRARY
2013,9.26003,BENICIA PUBLIC LIBRARY
2014,8.42883,BENICIA PUBLIC LIBRARY
2015,8.08691,BENICIA PUBLIC LIBRARY
2016,7.4625,BENICIA PUBLIC LIBRARY
2017,7.59755,BENICIA PUBLIC LIBRARY
2018,7.13391,BENICIA PUBLIC LIBRARY
2019,5.17295,BENICIA PUBLIC LIBRARY
2010,11.95204,BERKELEY PUBLIC LIBRARY
2011,9.38892,BERKELEY PUBLIC LIBRARY
2012,9.02789,BERKELEY PUBLIC LIBRARY
2013,11.37649,BERKELEY PUBLIC LIBRARY
2014,9.15471,BERKELEY PUBLIC LIBRARY
2015,11.26513,BERKELEY PUBLIC LIBRARY
2016,9.36671,BERKELEY PUBLIC LIBRARY
2017,8.50874,BERKELEY PUBLIC LIBRARY
2018,8.78177,BERKELEY PUBLIC LIBRARY
2019,5.05099,BERKELEY PUBLIC LIBRARY
2010,16.26524,BEVERLY HILLS PUBLIC LIBRARY
2011,14.6891,BEVERLY HILLS PUBLIC LIBRARY
2012,,BEVERLY HILLS PUBLIC LIBRARY
2013,22.57303,BEVERLY HILLS PUBLIC LIBRARY
2014,21.69925,BEVERLY HILLS PUBLIC LIBRARY
2015,21.79006,BEVERLY HILLS PUBLIC LIBRARY
2016,19.83637,BEVERLY HILLS PUBLIC LIBRARY
2017,20.12291,BEVERLY HILLS PUBLIC LIBRARY
2018,18.04707,BEVERLY HILLS PUBLIC LIBRARY
2019,13.49374,BEVERLY HILLS PUBLIC LIBRARY
2010,4.12455,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2011,4.0856,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2012,2.93941,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2013,3.07646,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2014,2.62718,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2015,2.5254,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2016,2.44174,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2017,2.5465,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2018,3.4763,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2019,2.38511,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT
2010,1.50273,BRAWLEY PUBLIC LIBRARY
2011,2.32712,BRAWLEY PUBLIC LIBRARY
2012,2.36355,BRAWLEY PUBLIC LIBRARY
2013,2.50685,BRAWLEY PUBLIC LIBRARY
2014,2.38024,BRAWLEY PUBLIC LIBRARY
2015,2.43036,BRAWLEY PUBLIC LIBRARY
2016,2.27819,BRAWLEY PUBLIC LIBRARY
2017,2.22417,BRAWLEY PUBLIC LIBRARY
2018,2.14928,BRAWLEY PUBLIC LIBRARY
2019,0.96325,BRAWLEY PUBLIC LIBRARY
2010,3.42407,BUENA PARK LIBRARY DISTRICT
2011,3.2112,BUENA PARK LIBRARY DISTRICT
2012,3.07707,BUENA PARK LIBRARY DISTRICT
2013,3.34228,BUENA PARK LIBRARY DISTRICT
2014,3.38637,BUENA PARK LIBRARY DISTRICT
2015,3.3389,BUENA PARK LIBRARY DISTRICT
2016,3.26522,BUENA PARK LIBRARY DISTRICT
2017,3.09504,BUENA PARK LIBRARY DISTRICT
2018,2.81753,BUENA PARK LIBRARY DISTRICT
2019,1.91491,BUENA PARK LIBRARY DISTRICT
2010,10.64763,BURBANK PUBLIC LIBRARY
2011,10.8453,BURBANK PUBLIC LIBRARY
2012,10.42226,BURBANK PUBLIC LIBRARY
2013,10.47657,BURBANK PUBLIC LIBRARY
2014,10.31296,BURBANK PUBLIC LIBRARY
2015,7.9925,BURBANK PUBLIC LIBRARY
2016,7.90728,BURBANK PUBLIC LIBRARY
2017,7.29254,BURBANK PUBLIC LIBRARY
2018,6.80491,BURBANK PUBLIC LIBRARY
2019,4.44296,BURBANK PUBLIC LIBRARY
2010,12.22516,BURLINGAME PUBLIC LIBRARY
2011,12.40131,BURLINGAME PUBLIC LIBRARY
2012,11.8774,BURLINGAME PUBLIC LIBRARY
2013,10.2692,BURLINGAME PUBLIC LIBRARY
2014,9.63646,BURLINGAME PUBLIC LIBRARY
2015,8.94338,BURLINGAME PUBLIC LIBRARY
2016,9.48272,BURLINGAME PUBLIC LIBRARY
2017,9.09329,BURLINGAME PUBLIC LIBRARY
2018,9.25171,BURLINGAME PUBLIC LIBRARY
2019,6.72574,BURLINGAME PUBLIC LIBRARY
2010,2.89129,BUTTE COUNTY LIBRARY
2011,3.04082,BUTTE COUNTY LIBRARY
2012,2.86531,BUTTE COUNTY LIBRARY
2013,2.80093,BUTTE COUNTY LIBRARY
2014,2.89057,BUTTE COUNTY LIBRARY
2015,2.76393,BUTTE COUNTY LIBRARY
2016,2.72565,BUTTE COUNTY LIBRARY
2017,2.61685,BUTTE COUNTY LIBRARY
2018,2.10509,BUTTE COUNTY LIBRARY
2019,1.42223,BUTTE COUNTY LIBRARY
2010,9.24592,CALABASAS CITY LIBRARY
2011,9.2867,CALABASAS CITY LIBRARY
2012,9.12163,CALABASAS CITY LIBRARY
2013,7.23389,CALABASAS CITY LIBRARY
2014,7.35334,CALABASAS CITY LIBRARY
2015,6.88909,CALABASAS CITY LIBRARY
2016,6.42893,CALABASAS CITY LIBRARY
2017,7.00202,CALABASAS CITY LIBRARY
2018,7.38479,CALABASAS CITY LIBRARY
2019,5.20812,CALABASAS CITY LIBRARY
2010,,CALAVERAS COUNTY LIBRARY
2011,,CALAVERAS COUNTY LIBRARY
2012,,CALAVERAS COUNTY LIBRARY
2013,,CALAVERAS COUNTY LIBRARY
2014,,CALAVERAS COUNTY LIBRARY
2015,0.72529,CALAVERAS COUNTY LIBRARY
2016,1.33767,CALAVERAS COUNTY LIBRARY
2017,1.4111,CALAVERAS COUNTY LIBRARY
2018,1.49248,CALAVERAS COUNTY LIBRARY
